Level,Year,Name,Depth,Indicator,Metric,Reference,Median,Lower,Upper,tn.reefs,n.below,Latitude,Longitude
GBRMP,2015,GBRMP,NA,Macroalgae,rescale.consequence.metric,Critical,0.6384151374767849,0.6186092059002799,0.6564933145735797,96,21,NA,NA
GBRMP,2016,GBRMP,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.6180571225585014,0.5886795128420914,0.6454742280791527,146,25,NA,NA
GBRMP,2016,GBRMP,NA,Coral.cover,rescale.dist.metric,Baseline,0.5480866975909138,0.4851398081995196,0.6107175778854663,146,19,NA,NA
GBRMP,2016,GBRMP,NA,Macroalgae,distance.metric,Baseline,0.5533798706099713,0.48923768827686126,0.615464715924378,147,24,NA,NA
GBRMP,2016,GBRMP,NA,Macroalgae,rescale.consequence.metric,Critical,0.7255522485328734,0.6906958219305698,0.7536039060240606,147,16,NA,NA
GBRMP,2017,GBRMP,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.4736604263316315,0.4467941154298357,0.4986444474402966,133,48,NA,NA
GBRMP,2017,GBRMP,NA,Coral.cover,rescale.dist.metric,Baseline,0.4324087391745247,0.37745292327654095,0.48953557212333,133,45,NA,NA
GBRMP,2017,GBRMP,NA,Macroalgae,distance.metric,Baseline,0.6052001822465807,0.5503467574511655,0.6577776390667003,133,16,NA,NA
GBRMP,2017,GBRMP,NA,Macroalgae,rescale.consequence.metric,Critical,0.7332522456088615,0.7121417251120381,0.7525755455462484,133,19,NA,NA
GBRMP,2018,GBRMP,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.4344936452523129,0.4030449285488044,0.4615026594728423,145,59,NA,NA
GBRMP,2018,GBRMP,NA,Coral.cover,rescale.dist.metric,Baseline,0.4049729354167992,0.3486718617320737,0.4646244464599275,145,56,NA,NA
GBRMP,2018,GBRMP,NA,Macroalgae,distance.metric,Baseline,0.5097134805156036,0.45712723498790014,0.5768269647517787,145,33,NA,NA
